doi,year,type,title,authors,venue,cited_by_count,is_oa,oa_url,abstract,found_by,pavement_hit,drift_hit,label_hybrid,screen_ti_ab,screen_fulltext,exclusion_reason,hybridisation_type,self_describes_as_hybrid,optimiser,base_learner,pavement_domain,pavement_family,data_source,n_samples,n_inputs,split_protocol,external_validation,leakage_risk,hyperparam_reporting,baseline_strength,premium_computable,premium_value,budget_parity_reported,optimiser_novelty_claim,repeated_runs_reported,uncertainty_quantified,interpretability_method,metrics_reported,best_reported_R2,best_reported_F1,code_available,data_available,deployment_evidence,critique_note
10.1109/tits.2019.2910595,2020,journal-article,Feature Pyramid and Hierarchical Boosting Network for Pavement Crack Detection,"Yang, Fan; Zhang, Lei; Yu, Sijia; Prokhorov, Danil; Mei, Xue; Ling, Haibin",IEEE Transactions on Intelligent Transportation Systems,1116,,,,B:categorical boosting pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.conbuildmat.2017.09.110,2017,journal-article,Deep Convolutional Neural Networks with transfer learning for computer vision-based data-driven pavement distress detection,"Gopalakrishnan, Kasthurirangan; Khaitan, Siddhartha K.; Choudhary, Alok; Agrawal, Ankit",Construction and Building Materials,865,,,,C:data-driven model pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/10298436.2020.1714047,2020,journal-article,Pavement distress detection and classification based on YOLO network,"Du, Yuchuan; Pan, Ning; Xu, Zihao; Deng, Fuwen; Shen, Yu; Kang, Hua",International Journal of Pavement Engineering,341,,,,B:transformer network pavement | C:hybrid model pavement distress | C:hybrid intelligent model pavement distress | C:soft computing pavement distress | C:data-driven model pavement distress | C:surrogate model pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.autcon.2018.07.008,2018,journal-article,Automatic recognition of asphalt pavement cracks using metaheuristic optimized edge detection algorithms and convolution neural network,"Nhat-Duc, Hoang; Nguyen, Quoc-Lam; Tran, Van-Duc",Automation in Construction,336,,,,A:metaheuristic optimization asphalt pavement | B:artificial neural network asphalt pavement | B:convolutional neural network asphalt pavement | B:recurrent neural network asphalt pavement | B:graph neural network asphalt pavement | B:physics-informed neural network asphalt pavement | B:wavelet neural network asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002/stc.2551,2020,journal-article,CrackU‐net: A novel deep convolutional neural network for pixelwise pavement crack detection,"Huyan, Ju; Li, Wei; Tighe, Susan; Xu, Zhengchao; Zhai, Junzhi",Structural Control and Health Monitoring,304,,,,B:convolutional neural network pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1111/mice.12409,2019,journal-article,Automated Pixel-Level Pavement Crack Detection on 3D Asphalt Surfaces with a Recurrent Neural Network,"Zhang, Allen; Wang, Kelvin C.P.; Fei, Yue; Liu, Yang; Chen, Cheng; Yang, Guangwei; Li, Joshua Q.; Yang, Enhui; Qiu, Shi",Computer-Aided Civil and Infrastructure Engineering,284,,,,B:recurrent neural network asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/10298436.2019.1609673,2019,journal-article,Machine learning approach for pavement performance prediction,"Marcelino, Pedro; de Lurdes Antunes, Maria; Fortunato, Eduardo; Gomes, Marta Castilho",International Journal of Pavement Engineering,274,,,,B:extreme learning machine pavement | C:hybrid machine learning pavement | C:hybrid machine learning pavement performance | C:hybrid machine learning pavement distress | C:optimized machine learning pavement | C:optimized machine learning pavement performance | C:optimized machine learning pavement distress | C:explainable machine learning pavement | C:explainable machine learning pavement performance | C:explainable machine learning pavement distress,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.conbuildmat.2020.118513,2020,journal-article,Deep machine learning approach to develop a new asphalt pavement condition index,"Majidifard, Hamed; Adu-Gyamfi, Yaw; Buttlar, William G.",Construction and Building Materials,273,,,,B:deep learning asphalt pavement | B:extreme learning machine asphalt pavement | C:hybrid machine learning asphalt pavement | C:optimized machine learning asphalt pavement | C:explainable machine learning asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1109/access.2020.3003638,2020,journal-article,Automated Pavement Crack Segmentation Using U-Net-Based Convolutional Neural Network,"Lau, Stephen L. H.; Chong, Edwin K. P.; Yang, Xu; Wang, Xin",IEEE Access,273,,,,B:convolutional neural network pavement | B:convolutional neural network asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.autcon.2022.104646,2023,journal-article,Pavement crack detection based on transformer network,"Guo, Feng; Qian, Yu; Liu, Jian; Yu, Huayang",Automation in Construction,247,,,,B:transformer network pavement | B:transformer network asphalt pavement,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
